k,disk,cx,cy,r
84,0,-6.99866,-0.011511,1
84,1,-2.48944,-5.06626,0.9
84,2,-2.53713,4.96451,0.9
85,0,-6.99282,-0.0169714,1
85,1,-2.48727,-5.16,0.9
85,2,-2.54179,5.04286,0.9
86,0,-6.98762,-0.0197524,1
86,1,-2.4871,-5.22551,0.9
86,2,-2.54381,5.14808,0.9
87,0,-6.98353,-0.0194149,1
87,1,-2.48581,-5.26962,0.9
87,2,-2.54048,5.26831,0.9
88,0,-6.98091,-0.0160122,1
88,1,-2.48045,-5.30921,0.9
88,2,-2.52998,5.38464,0.9
89,0,-6.98,-0.0100816,1
89,1,-2.4687,-5.36327,0.9
89,2,-2.51159,5.47997,0.9
90,0,-6.98087,-0.00255927,1
90,1,-2.44926,-5.44402,0.9
90,2,-2.48584,5.5471,0.9
