k,stage,disk,a0,a1,b
3,33,2,-0.922263,-0.386563,3.13401
3,34,0,-0.999998,0.0019938,5.98872
3,34,1,-0.936706,0.350117,3.49352
3,34,2,-0.922263,-0.386563,3.13401
3,35,0,-0.999998,0.0019938,5.98872
3,35,1,-0.936706,0.350117,3.49352
3,35,2,-0.922263,-0.386563,3.13401
3,36,0,-0.999998,0.0019938,5.98872
3,36,1,-0.936706,0.350117,3.49352
3,36,2,-0.922263,-0.386563,3.13401
3,37,0,-0.999998,0.0019938,5.98872
3,37,1,-0.936706,0.350117,3.49352
3,37,2,-0.922263,-0.386563,3.13401
3,38,0,-0.999998,0.0019938,5.98872
3,38,1,-0.936706,0.350117,3.49352
3,38,2,-0.922263,-0.386563,3.13401
3,39,0,-0.999998,0.0019938,5.98872
3,39,1,-0.936706,0.350117,3.49352
3,39,2,-0.922263,-0.386563,3.13401
3,40,0,-0.999998,0.0019938,5.98872
3,40,1,-0.936706,0.350117,3.49352
3,40,2,-0.922263,-0.386563,3.13401
3,41,0,-0.999998,0.0019938,5.98872
3,41,1,-0.936706,0.350117,3.49352
3,41,2,-0.922263,-0.386563,3.13401
3,42,0,-0.999998,0.0019938,5.98872
3,42,1,-0.936706,0.350117,3.49352
3,42,2,-0.922263,-0.386563,3.13401
3,43,0,-0.999998,0.0019938,5.98872
3,43,1,-0.936706,0.350117,3.49352
3,43,2,-0.922263,-0.386563,3.13401
3,44,0,-0.999998,0.0019938,5.98872
3,44,1,-0.936706,0.350117,3.49352
3,44,2,-0.922263,-0.386563,3.13401
4,0,0,-0.999999,0.00131325,5.98434
4,0,1,-0.879495,0.475908,3.37305
4,0,2,-0.829639,-0.558301,3.02331
4,1,0,-0.999999,0.00102915,5.98434
4,1,1,-0.946088,0.323911,3.42958
4,1,2,-0.928165,-0.37217,3.1077
4,2,0,-1,0.000985569,5.98434
4,2,1,-0.95285,0.303443,3.42817
4,2,2,-0.937747,-0.347318,3.10571
4,3,0,-0.999999,0.00100247,5.98434
4,3,1,-0.950315,0.311291,3.42895
4,3,2,-0.934168,-0.356834,3.1068
4,4,0,-0.999999,0.00102465,5.98434
4,4,1,-0.946821,0.321762,3.42952
4,4,2,-0.929209,-0.369555,3.10762
4,5,0,-0.999999,0.00103661,5.98434
4,5,1,-0.944856,0.327487,3.42962
4,5,2,-0.926408,-0.376522,3.10776
4,6,0,-0.999999,0.00103987,5.98434
4,6,1,-0.94431,0.329057,3.42962
4,6,2,-0.925628,-0.378435,3.10775
4,7,0,-0.999999,0.00103942,5.98434
4,7,1,-0.944385,0.328843,3.42962
4,7,2,-0.925734,-0.378174,3.10776
4,8,0,-0.999999,0.00103838,5.98434
4,8,1,-0.944559,0.328341,3.42962
4,8,2,-0.925984,-0.377562,3.10776
4,9,0,-0.999999,0.00103775,5.98434
4,9,1,-0.944664,0.328038,3.42962
4,9,2,-0.926134,-0.377194,3.10776
4,10,0,-0.999999,0.00103755,5.98434
4,10,1,-0.944699,0.327939,3.42962
4,10,2,-0.926183,-0.377074,3.10776
4,11,0,-0.999999,0.00103754,5.98434
4,11,1,-0.944699,0.327938,3.42962
4,11,2,-0.926184,-0.377072,3.10776
4,12,0,-0.999999,0.00103759,5.98434
4,12,1,-0.944692,0.327959,3.42962
4,12,2,-0.926173,-0.377098,3.10776
4,13,0,-0.999999,0.00103762,5.98434
4,13,1,-0.944687,0.327974,3.42962
4,13,2,-0.926166,-0.377116,3.10776
4,14,0,-0.999999,0.00103763,5.98434
4,14,1,-0.944685,0.32798,3.42962
4,14,2,-0.926163,-0.377123,3.10776
4,15,0,-0.999999,0.00103763,5.98434
4,15,1,-0.944684,0.327981,3.42962
4,15,2,-0.926163,-0.377124,3.10776
4,16,0,-0.999999,0.00103763,5.98434
4,16,1,-0.944685,0.32798,3.42962
4,16,2,-0.926163,-0.377123,3.10776
4,17,0,-0.999999,0.00103763,5.98434
4,17,1,-0.944685,0.327979,3.42962
4,17,2,-0.926163,-0.377122,3.10776
4,18,0,-0.999999,0.00103763,5.98434
4,18,1,-0.944685,0.327979,3.42962
4,18,2,-0.926164,-0.377122,3.10776
4,19,0,-0.999999,0.00103763,5.98434
4,19,1,-0.944685,0.327979,3.42962
4,19,2,-0.926164,-0.377122,3.10776
4,20,0,-0.999999,0.00103763,5.98434
4,20,1,-0.944685,0.327979,3.42962
4,20,2,-0.926164,-0.377122,3.10776
4,21,0,-0.999999,0.00103763,5.98434
