replan_step,i,x1,x2,x3,x4
35,27,-0.717692,16.1713,-0.0222951,0.615056
35,28,-0.740826,16.7862,-0.0239719,0.614774
35,29,-0.764984,17.4008,-0.024345,0.61444
35,30,-0.789686,18.0155,-0.025058,0.614865
35,31,-0.8156,18.6309,-0.0267693,0.61589
35,32,-0.842947,19.247,-0.0279263,0.616344
35,33,-0.871226,19.8634,-0.0286311,0.616489
35,34,-0.899705,20.4799,-0.0283275,0.616536
35,35,-0.927811,21.0965,-0.027883,0.616699
35,36,-0.955613,21.7132,-0.0277222,0.616683
35,37,-0.983421,22.3297,-0.0278937,0.616217
35,38,-1.01134,22.9459,-0.0279368,0.616214
35,39,-1.03926,23.5621,-0.0279123,0.6163
35,40,-1.06712,24.1784,-0.027799,0.616279
35,41,-1.09489,24.7947,-0.0277575,0.616271
35,42,-1.12263,25.411,-0.0277175,0.616272
35,43,-1.15034,26.0272,-0.0276988,0.616257
35,44,-1.17804,26.6435,-0.0276956,0.616245
40,0,-11.3611,14.6249,1.62346,-1.40066
40,1,-10.1607,13.7805,0.777238,-0.288126
40,2,-10.8835,14.7154,-2.22276,2.15792
40,3,-12.7833,15.8093,-1.57691,0.0298549
40,4,-13.926,14.8106,-0.708477,-2.0274
40,5,-13.6563,12.6087,1.2479,-2.37627
40,6,-12.0491,9.92845,1.96659,-2.98428
40,7,-9.43697,6.34714,3.25759,-4.17834
40,8,-6.59622,2.90973,2.42391,-2.69647
40,9,-4.43852,0.724709,1.89149,-1.67357
40,10,-3.10455,-0.304756,0.776451,-0.385361
40,11,-2.64569,-0.541157,0.141275,-0.0874409
40,12,-2.63064,-0.667374,-0.111183,-0.164994
40,13,-2.86374,-0.755554,-0.355021,-0.0113656
40,14,-3.27575,-0.702839,-0.469001,0.116795
40,15,-3.75472,-0.562398,-0.488937,0.164087
40,16,-4.23281,-0.400066,-0.467239,0.160576
40,17,-4.68115,-0.25345,-0.429442,0.132658
40,18,-5.09422,-0.137522,-0.396704,0.0991967
40,19,-5.47295,-0.0556996,-0.360745,0.0644489
40,20,-5.81979,-0.00680337,-0.332946,0.0333436
40,21,-6.14709,0.0153287,-0.321643,0.0109205
40,22,-6.46715,0.023101,-0.31848,0.00462426
40,23,-6.78165,0.0254812,-0.310513,0.00013596
40,24,-7.0922,0.0226451,-0.310598,-0.00580812
40,25,-7.40252,0.0175734,-0.310047,-0.00433524
40,26,-7.71283,0.0130711,-0.310563,-0.00466936
40,27,-8.02408,0.00842883,-0.311938,-0.00461517
40,28,-8.33649,0.0042839,-0.312883,-0.00367468
40,29,-8.64991,0.00139775,-0.313964,-0.00209763
40,30,-8.96423,-0.000184384,-0.314673,-0.00106663
40,31,-9.27894,-0.000861527,-0.31475,-0.000287658
40,32,-9.59364,-0.000892215,-0.314638,0.000226283
40,33,-9.90822,-0.000593318,-0.314536,0.000371511
40,34,-10.2227,-0.000317867,-0.314405,0.000179391
40,35,-10.5371,-0.000230327,-0.314447,-4.30983e-06
